id,Size of chocolate pool,Date of entry,Country funded by,Height of pipe,oompa loomper,longitude,Lattitude,Cocoa farm,Country of factory,Region code,District code,Location,Chocolate consumers in town,Does factory offer tours,Recorded by,Oompa loompa management,Official or Unofficial pipe,Year constructed,Type of pump,management,management_group,Payment scheme,chocolate_quality,chocolate_quantity,chocolate_source,chocolate_source_class,pipe_type
65869,0,7/14/12,53,0,5,231.0276837,323.3484922,1,9434,343,2,4,0,TRUE,Chocolate Lovers Consultants Ltd,,Official pipe,0,4,0,user-group,0,0,1,5,0,2
62707,0,2/26/12,720,2382,141,234.6494398,315.3669775,0,4866,336,5,15,1025,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2008,3,0,user-group,0,0,0,0,0,0
53781,0,1/28/14,6,0,5,0,325,1,17569,342,2,17,0,TRUE,Chocolate Lovers Consultants Ltd,4,Unofficial pipe,0,8,1,user-group,0,0,0,5,0,2
41642,0,11/7/12,11,0,21,233.8947934,315.3710752,0,7575,337,4,27,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,3,0,user-group,0,0,2,0,0,0
48922,0,2/10/14,41,1146,5,229.6543037,320.1976347,5,7539,341,4,19,1500,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,1997,3,0,user-group,6,0,1,6,1,1
14489,0,2/4/14,186,0,1196,0,325,1,4552,342,2,17,0,TRUE,Chocolate Lovers Consultants Ltd,4,Unofficial pipe,0,4,1,user-group,1,0,0,5,0,2
49554,0,3/3/14,20,1651,98,237.6730276,321.305466,2,2939,328,3,64,1042,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,1977,3,0,user-group,0,0,1,0,0,0
48876,205,3/30/14,37,1275,5,237.2675763,321.7191817,2,81,328,5,20,1030,TRUE,Chocolate Lovers Consultants Ltd,5,Official pipe,2012,3,4,user-group,4,0,0,6,1,0
9702,0,1/3/14,109,1424,38,236.9118131,321.6307951,2,1520,327,8,41,1120,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2013,3,0,user-group,6,0,3,6,1,0
71937,0,1/29/14,112,366,103,239.8383668,314.1908351,3,2684,334,5,101,1001,TRUE,Chocolate Lovers Consultants Ltd,5,Official pipe,1987,14,0,user-group,0,0,2,3,0,1
32516,0,10/3/13,7,0,5,233.8097462,321.3833129,4,19176,342,9,50,0,TRUE,Chocolate Lovers Consultants Ltd,7,Official pipe,0,3,7,commercial,4,0,0,6,1,1
60190,0,3/17/12,109,712,5,237.2743524,317.8979963,6,5746,330,7,69,1090,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2013,8,0,user-group,0,1,0,5,0,2
28160,0,7/24/12,114,0,105,230.5128828,322.3629166,1,18927,343,31,88,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,3,0,user-group,0,0,0,0,0,3
54121,0,8/8/12,39,0,31,232.721064,316.1245684,8,1959,337,7,74,0,FALSE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,8,0,user-group,0,2,3,5,0,2
43233,0,7/15/12,114,0,105,230.8414291,322.5224152,1,1042,343,31,88,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,3,0,user-group,0,0,0,0,0,1
9483,250,3/25/12,11,182,44,239.007256,318.507612,6,8969,331,2,24,1050,TRUE,Chocolate Lovers Consultants Ltd,8,Official pipe,1998,6,3,commercial,4,0,0,6,1,0
49564,2200,3/3/12,72,1786,64,234.9499758,316.0937127,7,2476,336,5,15,1080,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2013,12,0,user-group,5,0,0,7,0,2
19370,0,10/29/13,16,1361,55,234.1311714,323.5970758,1,386,345,7,114,1500,,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,1993,14,0,user-group,6,1,0,3,0,1
4069,1400,3/2/12,0,2496,23,234.2910769,315.7015526,0,2983,336,4,31,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2007,3,0,user-group,2,0,0,0,0,0
73692,0,11/2/13,7,0,316,234.145516,321.3275268,4,187,342,7,13,0,TRUE,Chocolate Lovers Consultants Ltd,4,Official pipe,0,7,1,user-group,4,0,1,5,0,1
68467,0,2/3/14,286,1361,283,236.8954293,321.6213403,2,1110,327,8,41,1150,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2000,3,0,user-group,6,0,1,6,1,0
12507,0,1/21/14,112,637,103,239.4412277,314.167913,3,358,334,5,101,1001,TRUE,Chocolate Lovers Consultants Ltd,5,Official pipe,1987,14,0,user-group,0,0,3,3,0,1
70531,0,2/3/14,75,1798,67,229.8183598,320.5357688,5,4585,341,3,45,1650,TRUE,Chocolate Lovers Consultants Ltd,7,Unofficial pipe,2011,9,0,user-group,0,0,0,0,0,0
3898,0,4/1/12,,0,,233.3484763,315.4997907,0,2221,337,6,67,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,3,0,user-group,6,3,2,0,0,0
43145,0,10/3/14,83,1487,113,236.8991349,321.8959821,4,149,327,8,41,1300,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2015,3,1,user-group,6,0,1,0,0,0
47946,0,2/26/14,131,1187,5,235.4878366,315.1184902,0,3099,335,3,60,1550,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2013,4,0,user-group,0,0,2,5,0,2
21444,0,4/7/12,11,0,9,233.1870352,316.0601469,8,7643,337,7,74,0,TRUE,Chocolate Lovers Consultants Ltd,5,Official pipe,0,3,0,user-group,2,0,1,6,1,0
46887,0,1/23/14,7,0,5,0,325,1,4678,342,2,17,0,FALSE,Chocolate Lovers Consultants Ltd,4,Unofficial pipe,0,15,1,user-group,0,0,0,5,0,2
29569,250,2/15/14,,1697,,234.7719327,319.8614252,4,68,338,3,32,1001,TRUE,Chocolate Lovers Consultants Ltd,0,,2005,14,0,user-group,4,0,1,3,0,0
42299,0,7/25/12,39,0,5,230.9111692,323.5800452,1,12450,343,2,4,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,3,0,user-group,0,0,2,0,0,0
50831,0,1/30/14,41,1229,5,229.9178182,320.1252007,5,2493,341,4,19,1650,FALSE,Chocolate Lovers Consultants Ltd,4,Official pipe,1990,3,0,user-group,6,0,1,6,1,1
67261,1700,1/3/14,131,1249,5,235.3309271,314.4792357,0,393,335,3,60,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2015,4,0,user-group,3,0,2,5,0,2
39166,0,1/16/14,20,565,257,238.8782429,314.8007343,3,5510,333,4,117,1070,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,9,0,user-group,0,1,1,3,0,1
42843,0,7/29/12,16,0,5,233.048125,322.4909156,1,7444,344,3,80,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,9,0,user-group,0,0,1,5,0,3
11770,0,11/2/13,16,1573,5,234.0124564,323.0987383,1,181,345,5,70,1070,TRUE,Chocolate Lovers Consultants Ltd,4,Official pipe,1990,13,1,user-group,6,0,0,3,0,2
15708,0,11/3/12,123,2415,38,234.4350866,315.7005665,0,5033,336,5,15,1100,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2004,3,0,user-group,5,0,0,0,0,0
17840,0,1/15/14,12,1299,337,234.4913656,320.891996,4,13154,338,2,42,1325,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2015,0,0,user-group,0,0,0,3,0,2
7128,0,7/18/12,20,0,5,230.965227,323.264484,1,12905,343,2,4,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,3,0,user-group,0,0,2,0,0,0
24279,550,10/30/13,532,1429,570,233.717065,323.4550728,1,3031,345,4,51,1350,FALSE,Chocolate Lovers Consultants Ltd,9,Official pipe,2012,3,8,parastatal,4,0,0,8,1,1
17828,0,8/23/12,429,2022,5,231.6612303,316.5673558,5,17542,340,3,14,1470,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,1995,3,0,user-group,0,0,0,6,1,0
64477,700,3/24/12,206,554,5,236.5126009,316.4607611,7,7139,330,5,98,1260,TRUE,Chocolate Lovers Consultants Ltd,,Official pipe,2015,8,0,user-group,3,0,0,5,0,2
60561,0,2/21/12,,183,,239.7045017,317.0238347,7,15861,385,61,25,1060,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,8,0,user-group,0,0,0,5,0,2
43553,0,6/3/14,20,1536,38,236.8899536,321.6774738,2,693,327,8,41,1096,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2016,3,0,user-group,6,4,1,0,0,0
7984,220,6/4/14,20,1202,5,236.6911148,321.4053778,2,239,327,3,26,1100,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,1975,3,0,user-group,4,0,0,0,0,3
31272,0,3/15/12,20,0,157,236.5607391,318.3082791,6,25,326,2,68,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,3,0,user-group,4,0,1,0,0,0
26666,0,3/27/12,,0,,232.9459213,315.6746139,0,305,337,6,67,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,8,0,user-group,6,3,2,5,0,2
54249,0,1/17/14,20,1718,150,234.7478177,320.2304721,4,11185,338,5,92,1001,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,1990,13,0,user-group,0,0,2,5,0,2
42252,0,3/18/14,,2083,5,236.1119574,322.3386816,4,7328,327,7,72,2500,TRUE,Chocolate Lovers Consultants Ltd,0,,1967,3,0,user-group,5,0,1,6,1,5
5828,700,3/26/12,138,525,127,237.0404657,317.4417396,7,6027,330,2,83,1250,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2014,4,0,user-group,3,0,0,5,0,2
20480,0,3/19/14,20,1262,5,236.8049113,321.5474371,2,4808,327,3,26,1150,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2006,3,0,user-group,0,0,0,0,0,3
26197,0,2/14/14,157,1492,5,230.8322706,321.3548391,5,387,341,2,30,1230,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,1998,3,0,user-group,6,0,0,0,0,1
17214,0,3/18/12,20,1309,32,238.3788683,319.9883043,2,8024,329,3,47,1300,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,1980,3,0,user-group,0,0,2,0,0,0
21080,1200,3/10/12,11,2004,74,234.5376488,315.218021,0,5799,336,6,0,1075,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,1993,3,0,user-group,2,0,3,0,0,0
66523,0,3/30/12,20,0,175,235.8898094,319.7589322,4,1297,326,2,28,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,7,0,user-group,0,0,0,3,0,1
39904,0,4/2/12,146,0,1355,233.5537963,316.0717057,7,144,337,3,79,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,3,1,user-group,5,0,1,6,1,0
11313,0,11/1/13,16,1526,5,233.9871695,323.0674755,1,7467,345,5,70,1250,FALSE,Chocolate Lovers Consultants Ltd,4,Unofficial pipe,1995,8,1,user-group,6,1,0,5,0,2
51782,0,3/4/12,129,187,5,239.1937709,316.7703936,7,7906,385,54,108,1001,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2015,7,0,user-group,0,0,0,3,0,2
43681,0,2/4/14,31,550,26,238.9037398,314.0630591,3,9510,415,34,33,1001,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2006,7,0,user-group,6,1,2,3,0,0
38089,0,4/17/12,20,0,175,236.1335677,320.0506999,4,2816,326,2,28,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,3,0,user-group,0,0,0,0,0,0
32009,300,3/1/12,20,2323,23,234.2177048,315.5400316,0,12577,336,4,31,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2007,3,0,user-group,3,0,0,0,0,0
20666,250,2/16/14,202,176,282,240.3206988,314.5392393,3,589,424,2,87,4000,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2011,14,0,user-group,4,1,0,3,0,1
73678,450,2/13/14,378,1567,392,230.1892869,320.7500756,5,1701,341,3,45,1540,TRUE,Chocolate Lovers Consultants Ltd,7,Official pipe,2007,3,4,user-group,3,0,0,6,1,1
34749,0,4/13/12,20,1972,5,234.6906754,315.8539571,7,156,336,5,15,1075,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,1979,3,0,user-group,5,0,0,6,1,0
58846,0,11/7/13,126,0,119,232.5474177,320.4926293,5,9454,339,4,107,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,0,0,user-group,0,0,0,5,0,2
70394,0,1/20/14,112,576,103,239.4818268,314.2998757,3,9244,334,5,101,1001,TRUE,Chocolate Lovers Consultants Ltd,5,Official pipe,1987,14,0,user-group,0,0,3,3,0,0
46133,0,2/3/14,359,1486,100,230.9051267,321.7487144,5,789,341,2,30,2500,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2017,8,0,user-group,6,2,0,5,0,2
40417,500,3/30/12,81,459,5,236.9652298,317.3191957,7,1111,330,4,43,1080,TRUE,Chocolate Lovers Consultants Ltd,8,Official pipe,2000,3,0,user-group,3,0,0,6,1,0
31103,0,11/5/13,20,0,21,233.1124883,320.1074111,5,5708,339,4,107,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,9,0,user-group,0,0,0,5,0,2
23571,700,8/4/12,3,1771,5,234.6448402,315.9664903,7,6097,336,5,15,1045,TRUE,Chocolate Lovers Consultants Ltd,6,Official pipe,1983,3,5,user-group,3,0,0,6,1,0
30730,0,3/15/12,5,0,5,238.7698683,320.246679,2,1262,329,9,5,1030,TRUE,Chocolate Lovers Consultants Ltd,3,Official pipe,1976,3,3,commercial,0,1,0,4,2,0
52929,450,2/1/14,41,1293,116,230.2041016,320.2216773,5,13623,341,3,45,1980,TRUE,Chocolate Lovers Consultants Ltd,7,Unofficial pipe,1994,15,0,user-group,3,0,0,3,0,2
29715,0,2/12/14,20,1437,83,230.981807,321.7291001,5,654,341,2,30,1350,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2015,14,0,user-group,6,0,1,3,0,0
4981,0,1/23/14,31,602,26,238.7017361,314.3699963,3,577,415,34,33,1001,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,1980,7,0,user-group,0,1,0,3,0,1
26659,0,2/15/12,128,491,165,238.9277726,317.8577829,6,41,385,34,102,1001,TRUE,Chocolate Lovers Consultants Ltd,3,Official pipe,2013,3,3,commercial,0,0,1,1,1,1
67043,700,3/27/14,1037,1482,1132,234.999114,314.053408,0,41,335,4,97,1160,,Chocolate Lovers Consultants Ltd,5,Official pipe,2005,3,4,user-group,3,0,0,0,0,0
18096,230,3/16/14,20,1169,5,236.8208595,321.513185,2,1666,327,3,26,1150,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,1985,3,0,user-group,4,0,1,0,0,0
19221,700,6/3/14,18,697,14,238.0778651,320.5224842,2,709,328,4,18,1100,TRUE,Chocolate Lovers Consultants Ltd,7,Official pipe,2018,3,0,user-group,5,0,0,6,1,0
66856,400,2/22/12,179,2768,23,234.0199803,315.8687803,0,918,336,4,31,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2013,3,0,user-group,3,0,0,0,0,0
9359,0,10/14/13,472,0,493,233.6882741,321.2594433,4,10580,342,9,50,0,FALSE,Chocolate Lovers Consultants Ltd,9,Unofficial pipe,0,3,8,parastatal,6,0,3,1,1,3
59848,0,2/21/14,474,1583,495,234.3285433,323.252892,1,2463,345,3,1,1050,,Chocolate Lovers Consultants Ltd,1,,2011,12,3,commercial,1,1,1,5,0,2
37920,250,3/8/12,20,404,5,238.7746811,319.7333609,2,326,329,4,39,1250,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2015,14,0,user-group,4,1,0,3,0,3
44114,6200,2/14/14,3,732,3,236.9854566,313.5327746,3,473,335,2,62,1001,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,2004,15,0,user-group,2,0,0,3,0,2
13515,0,10/16/13,90,0,5,233.4896058,321.2752864,4,9372,342,9,50,0,,Chocolate Lovers Consultants Ltd,9,Unofficial pipe,0,3,8,parastatal,6,0,3,1,1,0
73987,0,1/18/14,,1891,,235.0650151,320.2901367,4,2775,338,3,32,1309,TRUE,Chocolate Lovers Consultants Ltd,0,,2015,9,0,user-group,0,0,1,1,1,0
22270,0,4/9/12,22,0,157,236.575703,318.5253954,6,6231,326,2,68,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,14,0,user-group,4,1,0,3,0,1
51266,0,7/5/12,20,0,5,231.1704816,323.566438,1,10278,343,2,4,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,3,2,other,0,0,2,6,1,0
60277,0,4/11/12,,0,,234.0410776,316.3145661,7,9941,337,8,44,0,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,0,14,0,user-group,3,4,0,3,0,0
18473,0,2/20/12,129,303,266,239.0653829,317.3836769,7,11774,385,54,108,1001,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2009,7,0,user-group,0,0,0,3,0,0
42875,720,2/8/14,114,1275,105,229.8310601,320.3420297,5,1796,341,3,45,1370,TRUE,Chocolate Lovers Consultants Ltd,7,Official pipe,2005,3,4,user-group,3,0,0,6,1,0
9255,300,3/26/12,23,177,307,239.0919188,318.4215322,6,12263,331,2,24,1030,FALSE,Chocolate Lovers Consultants Ltd,8,Official pipe,2013,6,3,commercial,4,0,0,6,1,0
65564,0,3/23/12,11,2002,5,235.3297053,316.6296569,7,184,336,3,86,0,TRUE,Chocolate Lovers Consultants Ltd,0,Unofficial pipe,0,15,0,user-group,0,0,0,5,0,2
60649,0,7/20/12,237,1366,5,233.1409809,322.8439821,1,10159,344,2,16,1400,TRUE,Chocolate Lovers Consultants Ltd,,Official pipe,2014,8,0,user-group,0,1,1,5,0,2
24045,0,4/12/12,,0,,233.8092162,315.7377299,0,794,337,5,34,0,TRUE,Chocolate Lovers Consultants Ltd,0,,0,3,0,user-group,6,0,0,0,0,0
71422,0,2/7/14,31,368,26,239.1484344,313.9506002,3,294,415,34,33,1085,TRUE,Chocolate Lovers Consultants Ltd,0,Official pipe,2011,3,0,user-group,6,0,0,0,0,0
